# label	group_label	icon	related	sort_order
музеи	Культура	museum	архитектура,старый город	10
театры	Культура	party	музеи,фестивали	20
стрит-арт	Культура	spark	музеи,промышленный	30
архитектура	Культура	building	старый город,музеи	40
юнеско	Культура	crown	архитектура,монастыри	50
кремль	Культура	shield	старый город,музеи	60
монастыри	Культура	gem	юнеско,старый город	70
усадьбы	Культура	museum	архитектура,на выходные	80
деревянное зодчество	Культура	leaf	архитектура,музеи	90
военная история	Культура	shield	музеи	100
горы	Природа	mountain	походы,горные лыжи	110
море	Природа	wave	курорт,портовый	120
озёра	Природа	wave	лес,походы	130
большая река	Природа	wave	сплавы,летом лучше	140
лес	Природа	leaf	походы,озёра	150
вулканы	Природа	mountain	походы,термальные источники	160
степь	Природа	leaf	летом лучше	170
северное сияние	Природа	moon	зимой лучше	180
термальные источники	Природа	wave	санатории,горы	190
горные лыжи	Активности	mountain	горы,зимой лучше	210
походы	Активности	route	горы,лес	220
сплавы	Активности	wave	большая река,лес	230
велопрогулки	Активности	route	лес,летом лучше	240
санатории	Активности	leaf	термальные источники,курорт	250
мегаполис	Город	building	ночная жизнь,гастрономия	310
старый город	Город	museum	архитектура,музеи	320
промышленный	Город	layers	стрит-арт,музеи	330
студенческий	Город	people	крафт,ночная жизнь	340
портовый	Город	wave	море,гастрономия	350
курорт	Город	star	море,санатории	360
гастрономия	Еда	food	крафт,национальная кухня	410
вино	Еда	food	гастрономия,летом лучше	420
крафт	Еда	food	ночная жизнь,гастрономия	430
национальная кухня	Еда	food	гастрономия	440
фестивали	События	party	театры,летом лучше	510
ночная жизнь	События	moon	крафт,мегаполис	520
большие арены	События	trophy	мегаполис,фестивали	530
ж/д узел	Логистика	railway	на выходные	610
авиахаб	Логистика	avia	мегаполис	620
на выходные	Логистика	calendar	ж/д узел,усадьбы	630
с детьми	Формат	people	музеи,санатории	640
бюджетно	Формат	coins	на выходные	650
зимой лучше	Формат	cloud	горные лыжи,северное сияние	660
летом лучше	Формат	star	море,большая река	670
